Name,Season,Injury,From date,Till date,Days missed
Cody Gakpo,22/23,Virus,"Mar 23, 2023","Mar 26, 2023",3 days
Cody Gakpo,21/22,unknown injury,"Feb 21, 2022","Mar 4, 2022",11 days
Cody Gakpo,21/22,Ankle injury,"Oct 22, 2021","Nov 30, 2021",39 days
Cody Gakpo,21/22,concussion,"Oct 8, 2021","Oct 13, 2021",5 days
Cody Gakpo,21/22,unknown injury,"Sep 4, 2021","Sep 9, 2021",5 days
Cody Gakpo,20/21,Ankle injury,"Jan 10, 2021","Mar 13, 2021",62 days
Cody Gakpo,20/21,Corona virus,"Oct 21, 2020","Oct 31, 2020",10 days
Cody Gakpo,19/20,Ill,"Sep 7, 2019","Sep 13, 2019",6 days
Dominik Szoboszlai,23/24,Hamstring injury,"Jan 31, 2024","Feb 29, 2024",29 days
Dominik Szoboszlai,23/24,Hamstring injury,"Jan 1, 2024","Jan 26, 2024",25 days
Dominik Szoboszlai,21/22,Ankle problems,"Nov 21, 2021","Nov 25, 2021",4 days
Dominik Szoboszlai,20/21,Adductor pain,"Dec 22, 2020","Jul 1, 2021",191 days
Dominik Szoboszlai,18/19,Torn ankle ligaments,"Aug 17, 2018","Sep 13, 2018",27 days
Andrew Robertson,23/24,Ankle problems,"Mar 26, 2024","Apr 2, 2024",7 days
Andrew Robertson,23/24,Ill,"Feb 26, 2024","Feb 29, 2024",3 days
Andrew Robertson,23/24,Shoulder injury,"Oct 12, 2023","Jan 22, 2024",102 days
Andrew Robertson,22/23,Knee injury,"Sep 8, 2022","Oct 10, 2022",32 days
Andrew Robertson,20/21,Hip injury,"Nov 14, 2020","Nov 18, 2020",4 days
Andrew Robertson,19/20,Ankle injury,"Nov 11, 2019","Nov 22, 2019",11 days
Andrew Robertson,18/19,Torn thigh muscle,"Jun 12, 2019","Jun 24, 2019",12 days
Andrew Robertson,18/19,Fracture of fibula shaft,"May 8, 2019","May 11, 2019",3 days
Andrew Robertson,18/19,Arm injury,"Feb 25, 2019","Feb 26, 2019",1 days
Andrew Robertson,18/19,Knock,"Dec 3, 2018","Dec 7, 2018",4 days
Andrew Robertson,17/18,Knock,"Mar 28, 2018","Mar 30, 2018",2 days
Andrew Robertson,16/17,Calf strain,"Oct 15, 2016","Nov 26, 2016",42 days
Joe Gomez,23/24,Virus,"Feb 8, 2024","Feb 13, 2024",5 days
Joe Gomez,22/23,Muscle injury,"Feb 21, 2023","Mar 14, 2023",21 days
Joe Gomez,20/21,Patellar tendon problems,"Nov 11, 2020","Jun 30, 2021",231 days
Joe Gomez,19/20,Knock,"Mar 1, 2020","Mar 2, 2020",1 days
Joe Gomez,18/19,Ankle surgery,"Dec 5, 2018","Apr 8, 2019",124 days
Joe Gomez,18/19,Knock,"Aug 5, 2018","Aug 11, 2018",6 days
Joe Gomez,17/18,Ankle surgery,"May 8, 2018","Jul 1, 2018",54 days
Joe Gomez,17/18,Ankle injury,"Mar 23, 2018","Apr 20, 2018",28 days
Joe Gomez,16/17,Achilles tendon problems,"Jul 15, 2016","Nov 20, 2016",128 days
Joe Gomez,15/16,Cruciate ligament injury,"Oct 12, 2015","Jun 2, 2016",234 days
Ibrahima Konate,23/24,Thigh problems,"Mar 7, 2024","Mar 19, 2024",12 days
Ibrahima Konate,23/24,Muscle injury,"Aug 25, 2023","Sep 14, 2023",20 days
Ibrahima Konate,22/23,Muscle injury,"Jan 30, 2023","Feb 27, 2023",28 days
Ibrahima Konate,22/23,Knee injury,"Aug 1, 2022","Sep 25, 2022",55 days
Ibrahima Konate,20/21,Ankle injury,"Dec 17, 2020","Feb 4, 2021",49 days
Ibrahima Konate,20/21,Torn muscle fiber,"Jul 1, 2020","Oct 15, 2020",106 days
Ibrahima Konate,19/20,Torn muscle fiber,"May 22, 2020","Jun 5, 2020",14 days
Ibrahima Konate,19/20,Torn muscle fiber,"Oct 3, 2019","Mar 11, 2020",160 days
Ibrahima Konate,17/18,minor knock,"Dec 18, 2017","Dec 23, 2017",5 days
Ibrahima Konate,17/18,Thigh problems,"Nov 9, 2017","Nov 16, 2017",7 days
Luis Diaz,22/23,Knee injury,"Oct 10, 2022","Apr 16, 2023",188 days
Luis Diaz,20/21,Corona virus,"Jan 14, 2021","Jan 28, 2021",14 days
Luis Diaz,20/21,Muscle injury,"Oct 22, 2020","Oct 29, 2020",7 days
Luis Diaz,19/20,Muscle injury,"Feb 27, 2020","Mar 16, 2020",18 days
Wataru Endo,23/24,Knock,"Mar 31, 2024","Apr 5, 2024",5 days
Wataru Endo,23/24,muscle stiffness,"Feb 26, 2024","Mar 1, 2024",4 days
Wataru Endo,22/23,concussion,"Nov 9, 2022","Nov 15, 2022",6 days
Wataru Endo,22/23,bruise,"Oct 3, 2022","Oct 6, 2022",3 days
Wataru Endo,21/22,Corona virus,"Apr 11, 2022","Apr 18, 2022",7 days
Wataru Endo,20/21,Knee injury,"Aug 27, 2020","Sep 3, 2020",7 days
Wataru Endo,18/19,Hamstring injury,"May 20, 2019","Jun 10, 2019",21 days
Wataru Endo,18/19,Hamstring injury,"Feb 7, 2019","Mar 28, 2019",49 days
Wataru Endo,17/18,Hip injury,"Mar 15, 2018","Mar 26, 2018",11 days
Wataru Endo,16/17,Ankle sprain,"May 1, 2017","May 4, 2017",3 days
Wataru Endo,16/17,Elbow injury,"Jun 27, 2016","Jul 4, 2016",7 days
Wataru Endo,15/16,Adductor pain,"Oct 5, 2015","Oct 8, 2015",3 days
Wataru Endo,13/14,Cruciate ligament injury,"Nov 14, 2013","Dec 12, 2013",28 days
Wataru Endo,Dec-13,Torn muscle fiber,"Feb 14, 2013","Apr 8, 2013",53 days
Wataru Endo,Dec-13,Ankle sprain,"May 28, 2012","Jul 23, 2012",56 days
Konstantinos Tsimikas,23/24,Broken collarbone,"Dec 23, 2023","Feb 6, 2024",45 days
Konstantinos Tsimikas,23/24,Rest,"Nov 20, 2023","Nov 22, 2023",2 days
Konstantinos Tsimikas,22/23,Bruised ribs,"Mar 27, 2023","Mar 31, 2023",4 days
Konstantinos Tsimikas,20/21,Knee injury,"Dec 10, 2020","Jan 20, 2021",41 days
Konstantinos Tsimikas,20/21,Thigh problems,"Sep 25, 2020","Nov 3, 2020",39 days
Konstantinos Tsimikas,20/21,Quarantine,"Sep 4, 2020","Sep 19, 2020",15 days
Konstantinos Tsimikas,20/21,Fever,"Sep 2, 2020","Sep 4, 2020",2 days
Stefan Bajcetic,23/24,Calf injury,"Sep 29, 2023","Apr 8, 2024",192 days
Stefan Bajcetic,22/23,Adductor injury,"Mar 13, 2023","May 31, 2023",79 days
Stefan Bajcetic,21/22,Back injury,"Jan 23, 2022","Jun 30, 2022",158 days
Fabio Carvalho,22/23,muscular problems,"Sep 4, 2022","Sep 28, 2022",24 days
Fabio Carvalho,21/22,Corona virus,"Oct 8, 2021","Oct 15, 2021",7 days
Fabio Carvalho,21/22,Toe injury,"Sep 4, 2021","Oct 25, 2021",51 days
Fabio Carvalho,21/22,Ankle injury,"Aug 21, 2021","Aug 28, 2021",7 days
Harvey Elliott,21/22,Dislocation fracture of the ankle joint,"Sep 13, 2021","Jan 31, 2022",140 days
Curtis Jones,23/24,ankle sprain,"Feb 18, 2024","Apr 2, 2024",44 days
Curtis Jones,23/24,Thigh problems,"Nov 1, 2023","Nov 24, 2023",23 days
Curtis Jones,23/24,Ankle injury,"Aug 16, 2023","Aug 30, 2023",14 days
Curtis Jones,22/23,Stress reaction of the bone,"Sep 1, 2022","Oct 13, 2022",42 days
Curtis Jones,21/22,Eye injury,"Nov 2, 2021","Jan 2, 2022",61 days
Conor Bradley,23/24,Ankle injury,"Apr 14, 2024","May 5, 2024",21 days
Conor Bradley,23/24,Back injury,"Jul 25, 2023","Nov 29, 2023",127 days
Caoimhin Kelleher,21/22,Hamstring injury,"Jun 15, 2022","Sep 28, 2022",105 days
Caoimhin Kelleher,21/22,Ill,"Oct 22, 2021","Nov 1, 2021",10 days
Rhys Williams,23/24,unknown injury,"Feb 1, 2024","Apr 20, 2024",79 days
Rhys Williams,23/24,Back problems,"Jul 17, 2023","Aug 13, 2023",27 days
Rhys Williams,22/23,Shin injury,"Sep 14, 2022","Oct 19, 2022",35 days
Rhys Williams,21/22,Knock,"Sep 11, 2021","Sep 17, 2021",6 days
Rhys Williams,20/21,Groin injury,"Nov 15, 2020","Nov 24, 2020",9 days
Kevin De Bruyne,23/24,stomach problems,"Apr 9, 2024","Apr 10, 2024",1 days
Kevin De Bruyne,23/24,Groin strain,"Mar 10, 2024","Mar 18, 2024",8 days
Kevin De Bruyne,23/24,Fitness,"Dec 18, 2023","Dec 29, 2023",11 days
Kevin De Bruyne,23/24,Hamstring injury,"Aug 12, 2023","Dec 17, 2023",127 days
Kevin De Bruyne,22/23,Foot bruise,"Apr 26, 2023","May 4, 2023",8 days
Kevin De Bruyne,22/23,Ill,"Feb 21, 2023","Feb 24, 2023",3 days
Kevin De Bruyne,21/22,Corona virus,"Nov 19, 2021","Dec 3, 2021",14 days
Kevin De Bruyne,21/22,Ankle injury,"Aug 1, 2021","Sep 10, 2021",40 days
Kevin De Bruyne,20/21,Facial fracture,"May 29, 2021","Jun 14, 2021",16 days
Kevin De Bruyne,20/21,Fracture of the eye socket,"May 29, 2021","Jun 7, 2021",9 days
Kevin De Bruyne,20/21,muscular problems,"May 5, 2021","May 15, 2021",10 days
Kevin De Bruyne,20/21,Hamstring injury,"Jan 21, 2021","Feb 16, 2021",26 days
Kevin De Bruyne,20/21,Muscle injury,"Oct 12, 2020","Oct 22, 2020",10 days
Kevin De Bruyne,19/20,Back injury,"Mar 2, 2020","Mar 10, 2020",8 days
Kevin De Bruyne,19/20,Ankle problems,"Sep 29, 2019","Oct 15, 2019",16 days
Erling Haaland,23/24,Muscle injury,"Apr 18, 2024","Apr 26, 2024",8 days
Erling Haaland,23/24,Stress reaction of the bone,"Dec 9, 2023","Jan 31, 2024",53 days
Erling Haaland,23/24,Ankle injury,"Nov 17, 2023","Nov 24, 2023",7 days
Erling Haaland,23/24,Ankle injury,"Nov 5, 2023","Nov 6, 2023",1 days
Erling Haaland,22/23,Groin problems,"Mar 21, 2023","Apr 3, 2023",13 days
Erling Haaland,22/23,Foot bruise,"Oct 26, 2022","Nov 4, 2022",9 days
Erling Haaland,21/22,Ill,"May 5, 2022","May 5, 2022",0 days
Erling Haaland,21/22,muscular problems,"Jan 24, 2022","Mar 7, 2022",42 days
Erling Haaland,21/22,Hip flexor problems,"Oct 21, 2021","Nov 25, 2021",35 days
Erling Haaland,21/22,muscular problems,"Sep 23, 2021","Oct 11, 2021",18 days
Erling Haaland,20/21,minor knock,"May 6, 2021","May 10, 2021",4 days
Erling Haaland,20/21,muscular problems,"Apr 29, 2021","May 3, 2021",4 days
Erling Haaland,20/21,Torn muscle fiber,"Nov 30, 2020","Dec 28, 2020",28 days
Erling Haaland,20/21,Knee problems,"Oct 29, 2020","Nov 2, 2020",4 days
Erling Haaland,19/20,Knee problems,"May 28, 2020","Jun 8, 2020",11 days
Jack Grealish,23/24,Hamstring injury,"Aug 29, 2023","Sep 23, 2023",25 days
Jack Grealish,20/21,Shin injury,"Feb 20, 2021","May 10, 2021",79 days
Jack Grealish,20/21,Calf injury,"Oct 2, 2020","Oct 3, 2020",1 days
Jack Grealish,19/20,Calf injury,"Oct 27, 2019","Nov 24, 2019",28 days
Jack Grealish,18/19,Fever,"Apr 12, 2019","Apr 16, 2019",4 days
Jack Grealish,18/19,Shin injury,"Dec 7, 2018","Feb 28, 2019",83 days
Jack Grealish,17/18,Kidney problems,"Aug 1, 2017","Oct 15, 2017",75 days
Jack Grealish,15/16,Ankle injury,"Feb 7, 2016","Apr 1, 2016",54 days
Jack Grealish,15/16,Tonsillitis,"Jan 7, 2016","Jan 22, 2016",15 days
Jack Grealish,15/16,Achilles tendon problems,"Jul 15, 2015","Aug 16, 2015",32 days
Bernardo Silva,23/24,muscular problems,"Aug 14, 2023","Aug 26, 2023",12 days
Bernardo Silva,21/22,muscular problems,"Nov 9, 2021","Nov 12, 2021",3 days
Bernardo Silva,20/21,Muscle injury,"Sep 8, 2020","Sep 30, 2020",22 days
Bernardo Silva,18/19,Knock,"Apr 7, 2019","Apr 14, 2019",7 days
Bernardo Silva,18/19,Knock,"Nov 19, 2018","Nov 30, 2018",11 days
Bernardo Silva,16/17,Ankle injury,"Jun 25, 2017","Jun 27, 2017",2 days
Bernardo Silva,15/16,Hamstring injury,"May 9, 2016","Jul 10, 2016",62 days
Bernardo Silva,15/16,Hamstring injury,"Feb 8, 2016","Feb 29, 2016",21 days
John Stones,23/24,Hip injury,"Aug 10, 2023","Oct 1, 2023",52 days
John Stones,22/23,Hamstring injury,"Jan 27, 2023","Mar 1, 2023",33 days
John Stones,22/23,Hamstring injury,"Sep 26, 2022","Oct 20, 2022",24 days
John Stones,20/21,Rest,"Jan 22, 2021","Jan 24, 2021",2 days
John Stones,20/21,Knock,"Sep 22, 2020","Oct 2, 2020",10 days
John Stones,20/21,Ankle injury,"Jun 19, 2020","Jun 27, 2020",8 days
John Stones,19/20,Foot injury,"Jan 19, 2020","Jan 25, 2020",6 days
John Stones,19/20,Knock,"Dec 8, 2019","Jan 3, 2020",26 days
John Stones,19/20,Muscle injury,"Sep 17, 2019","Oct 22, 2019",35 days
John Stones,18/19,Muscle injury,"Aug 16, 2019","Sep 13, 2019",28 days
John Stones,18/19,Groin injury,"Mar 5, 2019","Mar 29, 2019",24 days
John Stones,18/19,Groin strain,"Feb 17, 2019","Mar 1, 2019",12 days
John Stones,17/18,minor knock,"Jun 28, 2018","Jul 2, 2018",4 days
John Stones,17/18,Adductor injury,"Apr 5, 2018","May 3, 2018",28 days
John Stones,17/18,Hamstring injury,"Nov 20, 2017","Jan 1, 2018",42 days
Phil Foden,22/23,Appendectomy,"Mar 26, 2023","Apr 17, 2023",22 days
Phil Foden,21/22,Foot injury,"Aug 1, 2021","Sep 9, 2021",39 days
Phil Foden,19/20,Ill,"Sep 15, 2019","Sep 25, 2019",10 days
Phil Foden,17/18,Foot injury,"Dec 21, 2017","Feb 9, 2018",50 days
Rodri,20/21,Knock,"Feb 11, 2021","Feb 12, 2021",1 days
Rodri,19/20,Muscle injury,"Oct 22, 2019","Nov 9, 2019",18 days
Josko Gvardiol,23/24,Ankle ligament tear,"Feb 11, 2024","Mar 4, 2024",22 days
Josko Gvardiol,22/23,Groin problems,"Jun 11, 2023","Jul 7, 2023",26 days
Josko Gvardiol,22/23,Thigh problems,"May 6, 2023","May 13, 2023",7 days
Josko Gvardiol,21/22,Knee problems,"May 5, 2022","May 12, 2022",7 days
Josko Gvardiol,20/21,Muscle injury,"May 13, 2021","Jun 17, 2021",35 days
Josko Gvardiol,20/21,Muscle injury,"Mar 8, 2021","Mar 29, 2021",21 days
Manuel Akanji,23/24,unknown injury,"Jan 7, 2024","Jan 31, 2024",24 days
Manuel Akanji,21/22,minor knock,"Mar 28, 2022","Mar 31, 2022",3 days
Manuel Akanji,21/22,Torn muscle fiber,"Feb 18, 2022","Mar 17, 2022",27 days
Manuel Akanji,21/22,Calf problems,"Jan 23, 2022","Feb 1, 2022",9 days
Manuel Akanji,21/22,Knee surgery,"Dec 6, 2021","Jan 10, 2022",35 days
Manuel Akanji,20/21,Torn muscle fiber,"Feb 19, 2021","Mar 14, 2021",23 days
Manuel Akanji,20/21,Knee problems,"Dec 3, 2020","Dec 9, 2020",6 days
Manuel Akanji,20/21,Corona virus,"Oct 7, 2020","Oct 21, 2020",14 days
Manuel Akanji,19/20,muscular problems,"Jun 16, 2020","Jun 30, 2020",14 days
Manuel Akanji,18/19,Hip injury,"Jan 1, 2019","Feb 20, 2019",50 days
Manuel Akanji,18/19,Torn muscle fiber in the adductor area,"Dec 19, 2018","Dec 31, 2018",12 days
Manuel Akanji,18/19,Capsular injury,"Nov 29, 2018","Dec 5, 2018",6 days
Manuel Akanji,18/19,Hip problems,"Nov 11, 2018","Nov 19, 2018",8 days
Manuel Akanji,18/19,Hip problems,"Oct 10, 2018","Nov 1, 2018",22 days
Manuel Akanji,15/16,Cruciate ligament tear,"Mar 5, 2016","Dec 31, 2016",301 days
Ruben Dias,22/23,Hamstring injury,"Dec 22, 2022","Jan 15, 2023",24 days
Ruben Dias,21/22,Knock,"Mar 3, 2022","Apr 11, 2022",39 days
Ruben Dias,17/18,Ankle injury,"Mar 19, 2018","Mar 29, 2018",10 days
Ruben Dias,17/18,Appendectomy,"Nov 16, 2017","Dec 14, 2017",28 days
Kyle Walker,23/24,Hamstring injury,"Mar 23, 2024","Apr 12, 2024",20 days
Kyle Walker,22/23,Fitness,"Nov 18, 2022","Nov 22, 2022",4 days
Kyle Walker,22/23,Groin injury,"Oct 3, 2022","Nov 17, 2022",45 days
Kyle Walker,20/21,Knock,"Jan 21, 2021","Jan 25, 2021",4 days
Kyle Walker,20/21,Corona virus,"Dec 21, 2020","Jan 4, 2021",14 days
Kyle Walker,19/20,Knock,"Oct 7, 2019","Oct 28, 2019",21 days
Kyle Walker,18/19,Groin injury,"Oct 15, 2018","Oct 25, 2018",10 days
Kyle Walker,18/19,Knock,"Jul 2, 2018","Jul 9, 2018",7 days
Kyle Walker,16/17,Ankle injury,"May 15, 2017","Jun 1, 2017",17 days
Kyle Walker,14/15,Ankle injury,"Apr 2, 2015","May 25, 2015",53 days
Kyle Walker,14/15,Groin surgery,"Sep 1, 2014","Dec 11, 2014",101 days
Kyle Walker,13/14,Groin injury,"Mar 17, 2014","Jul 3, 2014",108 days
Kyle Walker,13/14,Hip problems,"Feb 17, 2014","Mar 3, 2014",14 days
Kyle Walker,11-Dec,Ankle injury,"Feb 23, 2012","Mar 5, 2012",11 days
Nathan Ake,23/24,Calf injury,"Mar 31, 2024","Apr 12, 2024",12 days
Nathan Ake,22/23,Hamstring injury,"May 7, 2023","May 27, 2023",20 days
Nathan Ake,22/23,Hamstring muscle injury,"Apr 19, 2023","May 1, 2023",12 days
Nathan Ake,20/21,Hamstring injury,"Dec 27, 2020","Mar 14, 2021",77 days
Nathan Ake,20/21,Hamstring injury,"Nov 11, 2020","Nov 30, 2020",19 days
Nathan Ake,20/21,Groin strain,"Oct 21, 2020","Oct 30, 2020",9 days
Nathan Ake,20/21,Groin injury,"Jul 13, 2020","Jul 25, 2020",12 days
Nathan Ake,19/20,Head injury,"Feb 10, 2020","Feb 28, 2020",18 days
Nathan Ake,19/20,Hamstring injury,"Dec 8, 2019","Jan 11, 2020",34 days
Nathan Ake,18/19,Hamstring injury,"Dec 31, 2018","Jan 1, 2019",1 days
Nathan Ake,18/19,Toe injury,"Aug 4, 2018","Aug 10, 2018",6 days
Nathan Ake,17/18,Ankle injury,"Aug 27, 2017","Sep 8, 2017",12 days
Nathan Ake,14/15,Hamstring injury,"Nov 14, 2014","Dec 19, 2014",35 days
Mateo Kovacic,22/23,Knock,"May 20, 2023","May 27, 2023",7 days
Mateo Kovacic,22/23,Ill,"Feb 20, 2023","Feb 27, 2023",7 days
Mateo Kovacic,22/23,Calf problems,"Jan 21, 2023","Feb 4, 2023",14 days
Mateo Kovacic,22/23,Rest,"Dec 18, 2022","Dec 28, 2022",10 days
Mateo Kovacic,22/23,Knee problems,"Aug 7, 2022","Aug 24, 2022",17 days
Mateo Kovacic,21/22,Ankle injury,"Apr 17, 2022","Apr 30, 2022",13 days
Mateo Kovacic,21/22,Corona virus,"Dec 3, 2021","Dec 18, 2021",15 days
Mateo Kovacic,21/22,Adductor pain,"Oct 29, 2021","Dec 1, 2021",33 days
Mateo Kovacic,20/21,Muscle injury,"Apr 11, 2021","May 14, 2021",33 days
Mateo Kovacic,19/20,Calf injury,"Jul 2, 2020","Jul 10, 2020",8 days
Mateo Kovacic,19/20,Achilles tendon problems,"Mar 4, 2020","Jun 6, 2020",94 days
Mateo Kovacic,19/20,Knee injury,"Oct 15, 2019","Oct 18, 2019",3 days
Mateo Kovacic,19/20,Calf injury,"Sep 1, 2019","Sep 12, 2019",11 days
Mateo Kovacic,18/19,Knock,"Dec 9, 2018","Dec 15, 2018",6 days
Mateo Kovacic,18/19,Knock,"Dec 3, 2018","Dec 4, 2018",1 days
Kalvin Phillips,22/23,Shoulder injury,"Aug 26, 2022","Nov 8, 2022",74 days
Kalvin Phillips,21/22,Hamstring injury,"Dec 2, 2021","Mar 14, 2022",102 days
Kalvin Phillips,20/21,Calf injury,"Feb 8, 2021","Mar 8, 2021",28 days
Kalvin Phillips,20/21,Shoulder injury,"Oct 22, 2020","Nov 23, 2020",32 days
Matheus Nunes,22/23,Shoulder injury,"Nov 4, 2022","Nov 12, 2022",8 days
Matheus Nunes,20/21,Corona virus,"Mar 17, 2021","Mar 29, 2021",12 days
Ederson,23/24,Muscle injury,"Mar 10, 2024","Apr 5, 2024",26 days
Ederson,23/24,Knee injury,"Jan 13, 2024","Jan 20, 2024",7 days
Ederson,20/21,Virus,"Dec 27, 2020","Jan 12, 2021",16 days
Ederson,19/20,Ill,"Dec 30, 2019","Jan 7, 2020",8 days
Ederson,19/20,Ill,"Dec 8, 2019","Dec 14, 2019",6 days
Ederson,19/20,muscular problems,"Nov 6, 2019","Nov 22, 2019",16 days
Ederson,17/18,Facial injury,"Sep 10, 2017","Sep 12, 2017",2 days
Ederson,16/17,Meniscus injury,"Jul 11, 2016","Aug 9, 2016",29 days
Stefan Ortega,21/22,Corona virus,"Dec 17, 2021","Dec 31, 2021",14 days
Stefan Ortega,19/20,influenza,"Feb 13, 2020","Feb 20, 2020",7 days
Stefan Ortega,18/19,Internal ligament strain,"Oct 23, 2018","Nov 19, 2018",27 days
Stefan Ortega,11-Dec,Eye injury,"Mar 13, 2012","Mar 17, 2012",4 days
Stefan Ortega,11-Dec,Hip bruise,"Nov 30, 2011","Dec 3, 2011",3 days
Stefan Ortega,10-Nov,Rib fracture,"Jul 18, 2010","Sep 9, 2010",53 days
Jeremy Doku,23/24,Muscle injury,"Dec 4, 2023","Jan 5, 2024",32 days
Jeremy Doku,22/23,Hamstring injury,"Mar 6, 2023","Mar 21, 2023",15 days
Jeremy Doku,22/23,Dead leg,"Oct 5, 2022","Oct 24, 2022",19 days
Jeremy Doku,22/23,Muscle injury,"Aug 29, 2022","Sep 14, 2022",16 days
Jeremy Doku,21/22,Calf injury,"Mar 16, 2022","Apr 29, 2022",44 days
Jeremy Doku,21/22,Hamstring injury,"Jan 29, 2022","Feb 21, 2022",23 days
Jeremy Doku,21/22,Knee injury,"Dec 2, 2021","Dec 31, 2021",29 days
Jeremy Doku,21/22,Knee injury,"Oct 15, 2021","Nov 13, 2021",29 days
Jeremy Doku,21/22,Hamstring injury,"Aug 23, 2021","Oct 4, 2021",42 days
Sergio Gomez,23/24,Knock,"Nov 3, 2023","Nov 13, 2023",10 days
Sergio Gomez,22/23,Pubic bone bruise,"Jul 1, 2022","Aug 3, 2022",33 days
Scott Carson,20/21,Virus,"Jan 6, 2021","Mar 14, 2021",67 days
Scott Carson,Dec-13,unknown injury,"Mar 16, 2013","Apr 1, 2013",16 days
Scott Carson,Dec-13,unknown injury,"Feb 2, 2013","Feb 10, 2013",8 days
Issa Kabore,22/23,ankle sprain,"Jan 19, 2023","Jan 23, 2023",4 days
Issa Kabore,20/21,Hamstring injury,"Feb 14, 2021","Mar 16, 2021",30 days
Casemiro,23/24,Knock,"Oct 13, 2023","Jan 4, 2024",83 days
Casemiro,21/22,muscular problems,"Apr 19, 2022","Apr 25, 2022",6 days
Casemiro,21/22,Stomach flu,"Feb 5, 2022","Feb 11, 2022",6 days
Casemiro,21/22,infection,"Oct 4, 2021","Oct 16, 2021",12 days
Casemiro,20/21,Corona virus,"Nov 7, 2020","Nov 22, 2020",15 days
Casemiro,18/19,ankle sprain,"Nov 12, 2018","Dec 17, 2018",35 days
Casemiro,17/18,stomach problems,"Feb 26, 2018","Feb 28, 2018",2 days
Casemiro,16/17,Fracture of fibula shaft,"Sep 19, 2016","Nov 25, 2016",67 days
Casemiro,15/16,muscular problems,"May 2, 2016","May 8, 2016",6 days
Casemiro,15/16,minor knock,"Apr 14, 2016","Apr 18, 2016",4 days
Casemiro,14/15,Ankle sprain,"Sep 25, 2014","Oct 16, 2014",21 days
Marcus Rashford,23/24,Ill,"Dec 11, 2023","Dec 13, 2023",2 days
Marcus Rashford,22/23,Leg injury,"May 11, 2023","May 24, 2023",13 days
Marcus Rashford,22/23,Muscle injury,"Apr 8, 2023","Apr 19, 2023",11 days
Marcus Rashford,22/23,unknown injury,"Mar 19, 2023","Mar 31, 2023",12 days
Marcus Rashford,22/23,Muscle injury,"Sep 4, 2022","Sep 19, 2022",15 days
Marcus Rashford,21/22,bronchitis,"May 4, 2022","May 19, 2022",15 days
Marcus Rashford,21/22,Dead leg,"Jan 13, 2022","Jan 17, 2022",4 days
Marcus Rashford,21/22,Shoulder injury,"Jul 14, 2021","Oct 15, 2021",93 days
Marcus Rashford,20/21,Shoulder injury,"Nov 8, 2020","Nov 20, 2020",12 days
Marcus Rashford,19/20,Back injury,"Jan 16, 2020","Jun 5, 2020",141 days
Marcus Rashford,19/20,Hip injury,"Sep 22, 2019","Sep 30, 2019",8 days
Marcus Rashford,18/19,Ankle injury,"Mar 18, 2019","Mar 26, 2019",8 days
Mason Mount,23/24,Calf injury,"Nov 24, 2023","Mar 13, 2024",110 days
Mason Mount,23/24,unknown injury,"Aug 19, 2023","Sep 25, 2023",37 days
Mason Mount,22/23,Pelvic injury,"Apr 25, 2023","May 31, 2023",36 days
Mason Mount,22/23,Pelvic contusion,"Feb 28, 2023","Apr 3, 2023",34 days
Mason Mount,22/23,Knock,"Jan 5, 2023","Jan 7, 2023",2 days
Mason Mount,21/22,Ankle injury,"Feb 14, 2022","Feb 21, 2022",7 days
Mason Mount,21/22,minor knock,"Sep 20, 2021","Sep 30, 2021",10 days
Mason Mount,20/21,Quarantine,"Jun 21, 2021","Jun 28, 2021",7 days
Mason Mount,19/20,Ankle injury,"Nov 7, 2019","Nov 7, 2019",0 days
Mason Mount,19/20,Ankle injury,"Sep 19, 2019","Sep 23, 2019",4 days
Mason Mount,18/19,Hamstring injury,"Jan 27, 2019","Mar 27, 2019",59 days
Mason Mount,18/19,Ankle injury,"Nov 1, 2018","Nov 22, 2018",21 days
Bruno Fernandes,23/24,Knee injury,"May 1, 2024","May 13, 2024",12 days
Bruno Fernandes,21/22,Ill,"Mar 12, 2022","Mar 14, 2022",2 days
Bruno Fernandes,18/19,Leg injury,"Mar 19, 2019","Mar 29, 2019",10 days
Bruno Fernandes,16/17,flu,"Jan 5, 2017","Jan 7, 2017",2 days
Antony,22/23,Leg injury,"Feb 5, 2023","Feb 20, 2023",15 days
Antony,22/23,unknown injury,"Oct 28, 2022","Nov 23, 2022",26 days
Antony,21/22,Ankle injury,"Mar 30, 2022","Jul 22, 2022",114 days
Antony,21/22,unknown injury,"Nov 23, 2021","Dec 1, 2021",8 days
Antony,20/21,Knock,"Mar 19, 2021","Apr 3, 2021",15 days
Antony,20/21,muscular problems,"Nov 9, 2020","Nov 24, 2020",15 days
Antony,20/21,Knock,"Oct 20, 2020","Oct 23, 2020",3 days
Harry Maguire,23/24,Muscle injury,"May 5, 2024","May 25, 2024",20 days
Harry Maguire,23/24,Groin injury,"Dec 13, 2023","Jan 24, 2024",42 days
Harry Maguire,22/23,Hamstring injury,"Sep 26, 2022","Oct 25, 2022",29 days
Harry Maguire,21/22,Knee problems,"Apr 26, 2022","May 3, 2022",7 days
Harry Maguire,21/22,Chest injury,"Jan 1, 2022","Jan 14, 2022",13 days
Harry Maguire,21/22,Calf injury,"Sep 25, 2021","Oct 15, 2021",20 days
Harry Maguire,20/21,Ankle injury,"May 9, 2021","Jun 13, 2021",35 days
Harry Maguire,18/19,Foot injury,"Jan 20, 2019","Jan 29, 2019",9 days
