possession_team,player,position,location,distance_to_goal,angle_to_goal,shot_speed,play_pattern,minute,shot_body_part,shot_one_on_one,shot_first_time,shot_outcome,goalkeeper_location,goalkeeper_distance,defensive_pressure,statsbomb_xg,AJS_xg
China PR Women's,Shuang Wang,Midfielder,"[108.1, 40.1]",11.90168,34.18362,22.57484,Penalty,73,Foot,False,False,Goal,"[120, 40.3]",11.90168,0,0.7835,0.9091355
Sweden Women's,Emma Stina Blackstenius,Forward,"[112.6, 34.6]",9.34077,36.25793,4.86594,From Throw In,22,Other,False,False,Off T,"[118.0, 36.6]",5.75847,2,0.10847442,0.0901702
China PR Women's,Linyan Zhang,Forward,"[113.4, 43.5]",7.33485,50.09351,55.78893,From Corner,77,Head,False,False,Off T,"[118.7, 41.9]",5.53624,4,0.2622442,0.0115519
South Africa Women's,Thembi Kgatlana,Forward,"[103.3, 27.1]",21.28685,15.53567,10.7619,From Goal Kick,27,Foot,False,False,Off T,"[118.7, 39.1]",19.52332,2,0.06457072,0.2430508
China PR Women's,Linyan Zhang,Forward,"[99.2, 58.3]",27.50709,11.57705,20.46709,From Counter,83,Foot,False,False,Saved,"[118.3, 42.7]",24.6611,1,0.015049003,0.1510419
South Africa Women's,Jermaine Seoposenwe,Midfielder,"[96.4, 25.8]",27.69856,12.90762,23.69243,From Goal Kick,29,Foot,False,False,Saved,"[118.5, 38.3]",25.39016,2,0.01932947,0.0250419
Haiti Women's,Nérilia Mondesir,Midfielder,"[114.5, 51.7]",12.65741,15.3349,11.75194,From Throw In,96,Foot,False,False,Off T,"[118.3, 43.4]",9.12853,4,0.08022594,0.2531929
Sweden Women's,Ingrid Filippa Angeldal,Midfielder,"[106.8, 46.4]",14.54132,26.00617,83.80778,From Corner,31,Foot,False,True,Blocked,"[115.4, 43.0]",9.2477,2,0.07121183,0.016075
Haiti Women's,Nérilia Mondesir,Midfielder,"[102.1, 56.4]",24.0753,13.02928,153.2502,Regular Play,97,Foot,False,False,Blocked,"[117.6, 42.9]",20.5548,2,0.015983118,0.002832
Norway Women's,Malia Grace Steinmetz,Midfielder,"[91.7, 43.5]",28.48034,14.55706,28.10855,Regular Play,4,Foot,False,False,Off T,"[118.9, 41.1]",27.30568,0,0.02483216,0.0130537
Sweden Women's,Amanda Ilestedt,Defender,"[114.8, 42.8]",5.76975,62.40589,9.66117,From Corner,42,Head,False,False,Off T,"[115.8, 42.3]",1.11803,7,0.13834716,0.0969368
Haiti Women's,Kethna Louis,Defender,"[109.2, 37.5]",11.15706,35.43851,8.32795,From Corner,98,Head,False,False,Off T,"[118.1, 40.5]",9.39202,5,0.044318072,0.0742282
Norway Women's,Ada Stolsmo Hegerberg,Forward,"[106.9, 33.3]",14.85295,24.83315,23.38572,From Throw In,6,Foot,False,True,Wayward,"[118.4, 39.2]",12.92517,1,0.04231458,0.0679852
Sweden Women's,Amanda Ilestedt,Defender,"[116.8, 43.5]",4.52548,73.17248,13.26945,From Corner,42,Head,False,False,Off T,"[117.9, 42.8]",1.30384,7,0.20424429,0.1697935
New Zealand Women's,Elizabeth Doon Hassett,Midfielder,"[105.7, 37.3]",14.6113,27.61555,114.71269,Regular Play,16,Head,False,False,Blocked,"[118.3, 39.9]",12.86546,3,0.022457086,0.0578802
Sweden Women's,Elin Ingrid Johanna Rubensson,Midfielder,"[97.1, 36.4]",23.22972,17.6692,21.62427,From Throw In,45,Foot,False,False,Off T,"[118.2, 39.7]",21.3565,2,0.02846886,0.060252
Norway Women's,Frida Maanum,Midfielder,"[107.7, 33.9]",13.86542,26.72086,21.07726,From Throw In,19,Foot,False,False,Off T,"[118.4, 38.6]",11.68674,3,0.090357274,0.2373756
South Africa Women's,Thembi Kgatlana,Forward,"[92.6, 48.1]",28.48859,14.10492,20.62364,From Counter,48,Foot,False,False,Off T,"[118.5, 41.5]",26.7277,2,0.03792265,0.040293
Norway Women's,Ada Stolsmo Hegerberg,Forward,"[94.6, 56.9]",30.34337,11.58067,228.91845,Regular Play,28,Foot,False,False,Blocked,"[118.8, 41.6]",28.63093,1,0.009819396,0.0089939
South Africa Women's,Thembi Kgatlana,Forward,"[113.4, 28.2]",13.78296,15.30203,322.20492,Regular Play,47,Foot,False,False,Saved,"[118.3, 36.9]",9.98499,1,0.067578234,0.0228442
Norway Women's,Ada Stolsmo Hegerberg,Forward,"[109.6, 46.1]",11.90798,30.66272,103.63867,From Counter,36,Foot,False,True,Blocked,"[118.6, 42.9]",9.55196,3,0.07949254,0.0040748
South Africa Women's,Hildah Tholakele Magaia,Forward,"[117.4, 43.0]",3.74833,88.03071,6.64945,Regular Play,47,Other,True,False,Goal,"[118.4, 37.1]",5.98415,1,0.7047972,0.5310384
New Zealand Women's,Hannah Wilkinson,Forward,"[113.3, 51.4]",12.96534,17.58953,121.99114,From Counter,43,Foot,False,False,Blocked,"[118.5, 44.2]",8.88144,1,0.04313628,0.0093718
Sweden Women's,Ingrid Filippa Angeldal,Midfielder,"[99.6, 66.0]",32.81235,7.99457,15.76972,From Throw In,52,Foot,False,False,Off T,"[118.2, 41.3]",30.92006,1,0.007569579,0.0632581
New Zealand Women's,Catherine Joan Bott,Defender,"[106.2, 57.8]",22.28654,11.80574,42.16527,From Throw In,45,Foot,False,False,Wayward,"[118.2, 43.8]",18.43909,2,0.02037916,0.0045763
Sweden Women's,Ingrid Filippa Angeldal,Midfielder,"[105.4, 36.9]",14.99066,26.82686,97.78005,From Corner,59,Foot,False,True,Blocked,"[119.0, 40.0]",13.94884,1,0.062346783,0.0087638
Norway Women's,Frida Maanum,Midfielder,"[111.2, 41.6]",8.8955,44.41962,14.88094,From Throw In,46,Head,True,False,Off T,"[118.6, 40.5]",7.48131,3,0.1331655,0.0890984
Sweden Women's,Amanda Ilestedt,Defender,"[107.6, 40.8]",12.41008,32.84265,15.61236,From Corner,59,Foot,False,True,Saved,"[117.8, 40.9]",10.20049,2,0.14103669,0.0474083
New Zealand Women's,Hannah Wilkinson,Forward,"[112.7, 40.8]",7.3171,53.08388,12.4892,From Goal Kick,47,Foot,False,True,Goal,"[117.3, 41.3]",4.62709,2,0.43960825,0.3121033
