driverId,raceId,milliseconds,year,name,driverRef,constructorId,constructorRef,rank
855,1102,93625.98245614035,2023,Miami Grand Prix,zhou,51.0,alfa,16.0
846,1102,93788.73684210527,2023,Miami Grand Prix,norris,1.0,mclaren,17.0
856,1102,93810.35087719298,2023,Miami Grand Prix,de_vries,213.0,alphatauri,18.0
857,1102,94263.41071428571,2023,Miami Grand Prix,piastri,1.0,mclaren,19.0
858,1102,94511.23214285714,2023,Miami Grand Prix,sargeant,3.0,williams,20.0
840,1104,80782.47169811321,2023,Monaco Grand Prix,stroll,117.0,aston_martin,1.0
830,1104,83743.33333333333,2023,Monaco Grand Prix,max_verstappen,9.0,red_bull,2.0
4,1104,84101.29487179487,2023,Monaco Grand Prix,alonso,117.0,aston_martin,3.0
839,1104,84217.56410256411,2023,Monaco Grand Prix,ocon,214.0,alpine,4.0
1,1104,84244.1282051282,2023,Monaco Grand Prix,hamilton,131.0,mercedes,5.0
847,1104,84400.82051282052,2023,Monaco Grand Prix,russell,131.0,mercedes,6.0
844,1104,84536.79487179487,2023,Monaco Grand Prix,leclerc,6.0,ferrari,7.0
842,1104,84542.84615384616,2023,Monaco Grand Prix,gasly,214.0,alpine,8.0
832,1104,84556.03846153847,2023,Monaco Grand Prix,sainz,6.0,ferrari,9.0
846,1104,84883.64935064936,2023,Monaco Grand Prix,norris,1.0,mclaren,10.0
857,1104,85012.1948051948,2023,Monaco Grand Prix,piastri,1.0,mclaren,11.0
822,1104,85207.05194805194,2023,Monaco Grand Prix,bottas,51.0,alfa,12.0
856,1104,85575.28571428571,2023,Monaco Grand Prix,de_vries,213.0,alphatauri,13.0
855,1104,85764.05194805194,2023,Monaco Grand Prix,zhou,51.0,alfa,14.0
848,1104,85859.61038961039,2023,Monaco Grand Prix,albon,3.0,williams,15.0
852,1104,86046.38157894737,2023,Monaco Grand Prix,tsunoda,213.0,alphatauri,16.0
807,1104,86585.34210526316,2023,Monaco Grand Prix,hulkenberg,210.0,haas,17.0
815,1104,86592.15789473684,2023,Monaco Grand Prix,perez,9.0,red_bull,18.0
858,1104,86907.40789473684,2023,Monaco Grand Prix,sargeant,3.0,williams,19.0
825,1104,87954.27142857143,2023,Monaco Grand Prix,kevin_magnussen,210.0,haas,20.0
830,1105,79968.78787878787,2023,Spanish Grand Prix,max_verstappen,9.0,red_bull,1.0
1,1105,80333.78787878787,2023,Spanish Grand Prix,hamilton,131.0,mercedes,2.0
847,1105,80459.5303030303,2023,Spanish Grand Prix,russell,131.0,mercedes,3.0
815,1105,80511.39393939394,2023,Spanish Grand Prix,perez,9.0,red_bull,4.0
832,1105,80661.18181818182,2023,Spanish Grand Prix,sainz,6.0,ferrari,5.0
840,1105,80928.18181818182,2023,Spanish Grand Prix,stroll,117.0,aston_martin,6.0
4,1105,80940.40909090909,2023,Spanish Grand Prix,alonso,117.0,aston_martin,7.0
839,1105,81017.90909090909,2023,Spanish Grand Prix,ocon,214.0,alpine,8.0
852,1105,81035.69696969698,2023,Spanish Grand Prix,tsunoda,213.0,alphatauri,9.0
855,1105,81057.84848484848,2023,Spanish Grand Prix,zhou,51.0,alfa,10.0
842,1105,81082.87878787878,2023,Spanish Grand Prix,gasly,214.0,alpine,11.0
844,1105,81096.34848484848,2023,Spanish Grand Prix,leclerc,6.0,ferrari,12.0
857,1105,81264.84615384616,2023,Spanish Grand Prix,piastri,1.0,mclaren,13.0
856,1105,81281.03076923077,2023,Spanish Grand Prix,de_vries,213.0,alphatauri,14.0
807,1105,81465.18461538461,2023,Spanish Grand Prix,hulkenberg,210.0,haas,15.0
848,1105,81625.35384615384,2023,Spanish Grand Prix,albon,3.0,williams,16.0
846,1105,81666.61538461539,2023,Spanish Grand Prix,norris,1.0,mclaren,17.0
825,1105,81784.92307692308,2023,Spanish Grand Prix,kevin_magnussen,210.0,haas,18.0
822,1105,81967.43076923076,2023,Spanish Grand Prix,bottas,51.0,alfa,19.0
858,1105,81994.10769230769,2023,Spanish Grand Prix,sargeant,3.0,williams,20.0
830,1106,80547.82857142857,2023,Canadian Grand Prix,max_verstappen,9.0,red_bull,1.0
4,1106,80684.54285714286,2023,Canadian Grand Prix,alonso,117.0,aston_martin,2.0
1,1106,80750.22857142857,2023,Canadian Grand Prix,hamilton,131.0,mercedes,3.0
844,1106,80814.22857142857,2023,Canadian Grand Prix,leclerc,6.0,ferrari,4.0
832,1106,80855.54285714286,2023,Canadian Grand Prix,sainz,6.0,ferrari,5.0
815,1106,81276.8,2023,Canadian Grand Prix,perez,9.0,red_bull,6.0
848,1106,81416.58571428571,2023,Canadian Grand Prix,albon,3.0,williams,7.0
839,1106,81429.14285714286,2023,Canadian Grand Prix,ocon,214.0,alpine,8.0
846,1106,81453.0142857143,2023,Canadian Grand Prix,norris,1.0,mclaren,9.0
