qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
10105,1122,825,210,20,13,01:29:01,01:29:00,
10106,1122,817,215,3,14,01:29:01,01:29:00,
10107,1122,807,210,27,15,01:29:01,,
10108,1122,822,15,77,16,01:29:02,,
10109,1122,839,214,31,17,01:29:05,,
10110,1122,842,214,10,18,01:29:05,,
10111,1122,858,3,2,19,01:29:05,,
10112,1122,855,15,24,20,00:00:00,00:00:00,00:00:00
10113,1123,830,9,1,1,01:16:08,01:16:04,01:15:09
10114,1123,832,6,55,2,01:16:07,01:16:02,01:16:02
10115,1123,815,9,11,3,01:16:08,01:16:06,01:16:03
10116,1123,846,1,4,4,01:17:04,01:16:08,01:16:03
10117,1123,844,6,16,5,01:17:00,01:16:03,01:16:04
10118,1123,857,1,81,6,01:17:04,01:16:06,01:16:06
10119,1123,847,131,63,7,01:17:01,01:16:09,01:16:07
10120,1123,852,215,22,8,01:17:04,01:16:08,01:16:08
10121,1123,840,117,18,9,01:17:04,01:16:08,01:17:01
10122,1123,4,117,14,10,01:17:00,01:16:07,01:17:06
10123,1123,1,131,44,11,01:17:05,01:17:00,00:00:00
10124,1123,848,3,23,12,01:17:01,01:17:02,00:00:00
10125,1123,822,15,77,13,01:17:05,01:17:03,00:00:00
10126,1123,825,210,20,14,01:17:07,01:17:04,00:00:00
10127,1123,839,214,31,15,01:17:06,01:17:07,00:00:00
10128,1123,807,210,27,16,01:18:00,00:00:00,00:00:00
10129,1123,842,214,10,17,01:18:00,00:00:00,00:00:00
10130,1123,817,215,3,18,01:18:01,00:00:00,00:00:00
10131,1123,855,15,24,19,01:18:02,00:00:00,00:00:00
10132,1124,830,9,1,1,01:28:09,01:28:07,01:28:02
10133,1124,815,9,11,2,01:29:03,01:28:08,01:28:03
10134,1124,846,1,4,3,01:29:05,01:28:09,01:28:05
10135,1124,832,6,55,4,01:29:05,01:29:01,01:28:07
10136,1124,4,117,14,5,01:29:03,01:29:01,01:28:07
10137,1124,857,1,81,6,01:29:04,01:29:01,01:28:08
10138,1124,1,131,44,7,01:29:07,01:28:09,01:28:08
10139,1124,844,6,16,8,01:29:03,01:29:02,01:28:08
10140,1124,847,131,63,9,01:29:08,01:29:01,01:29:00
10141,1124,852,215,22,10,01:29:08,01:29:04,01:29:04
10142,1124,817,215,3,11,01:29:07,01:29:05,00:00:00
10143,1124,807,210,27,12,01:29:08,01:29:05,00:00:00
10144,1124,822,15,77,13,01:29:06,01:29:06,00:00:00
10145,1124,848,3,23,14,01:30:00,01:29:07,00:00:00
10146,1124,839,214,31,15,01:29:08,01:29:08,00:00:00
10147,1124,840,117,18,16,01:30:00,00:00:00,00:00:00
10148,1124,842,214,10,17,01:30:01,00:00:00,00:00:00
10149,1124,825,210,20,18,01:30:01,00:00:00,00:00:00
10150,1124,858,3,2,19,01:30:01,00:00:00,00:00:00
10151,1124,855,15,24,20,01:30:01,00:00:00,00:00:00
10152,1125,830,9,1,1,01:34:07,01:33:08,01:33:07
10153,1125,815,9,11,2,01:35:05,01:34:00,01:34:00
10154,1125,4,117,14,3,01:35:01,01:34:07,01:34:01
10155,1125,846,1,4,4,01:34:08,01:34:05,01:34:02
10156,1125,857,1,81,5,01:35:00,01:34:07,01:34:03
10157,1125,844,6,16,6,01:34:08,01:34:04,01:34:03
10158,1125,832,6,55,7,01:35:00,01:34:04,01:34:03
10159,1125,847,131,63,8,01:35:01,01:34:06,01:34:04
10160,1125,807,210,27,9,01:35:01,01:34:07,01:34:06
10161,1125,822,15,77,10,01:35:02,01:34:08,01:34:07
10162,1125,840,117,18,11,01:35:03,01:34:08,00:00:00
10163,1125,817,215,3,12,01:35:04,01:34:09,00:00:00
10164,1125,839,214,31,13,01:35:04,01:35:02,00:00:00
10165,1125,848,3,23,14,01:35:04,01:35:02,00:00:00
10166,1125,842,214,10,15,01:35:03,01:35:05,00:00:00
10167,1125,855,15,24,16,01:35:05,00:00:00,00:00:00
10168,1125,825,210,20,17,01:35:05,00:00:00,00:00:00
10169,1125,1,131,44,18,01:35:06,00:00:00,00:00:00
10170,1125,852,215,22,19,01:35:07,00:00:00,00:00:00
10171,1125,858,3,2,20,01:36:04,00:00:00,00:00:00
