raceId,adjusted_avg_laptime,year,DPS,driverRef,driverId,constructorRef,rank,inverse_adjustment_factor,avg_laptime,name
1105,80457.34708,2023,12,stroll,840,aston_martin,9,0.994182067,80928.18182,Spanish Grand Prix
1105,80469.50322,2023,11,alonso,4,aston_martin,10,0.994182067,80940.40909,Spanish Grand Prix
1105,80511.39394,2023,10,perez,815,red_bull,11,1,80511.39394,Spanish Grand Prix
1105,80541.84354,2023,9,leclerc,844,ferrari,12,0.993162393,81096.34848,Spanish Grand Prix
1105,80634.01586,2023,8,sargeant,858,williams,13,0.983412322,81994.10769,Spanish Grand Prix
1105,80687.47402,2023,7,hulkenberg,807,haas,14,0.990453461,81465.18462,Spanish Grand Prix
1105,80712.28598,2023,6,ocon,839,alpine,15,0.996227709,81017.90909,Spanish Grand Prix
1105,80777.01059,2023,5,gasly,842,alpine,16,0.996227709,81082.87879,Spanish Grand Prix
1105,80902.80263,2023,4,piastri,857,mclaren,17,0.995544894,81264.84615,Spanish Grand Prix
1105,81004.16009,2023,3,kevin_magnussen,825,haas,18,0.990453461,81784.92308,Spanish Grand Prix
1105,81212.61473,2023,2,bottas,822,alfa,19,0.990791269,81967.43077,Spanish Grand Prix
1105,81302.78194,2023,1,norris,846,mclaren,20,0.995544894,81666.61538,Spanish Grand Prix
1106,78772.79807,2023,20,tsunoda,852,alphatauri,1,0.965391621,81596.72857,Canadian Grand Prix
1106,78888.29128,2023,19,bottas,822,alfa,2,0.968331303,81468.28571,Canadian Grand Prix
1106,79371.24,2023,18,zhou,855,alfa,3,0.968331303,81967.02899,Canadian Grand Prix
1106,79552.89533,2023,17,ocon,839,alpine,4,0.976958525,81429.14286,Canadian Grand Prix
1106,79602.53878,2023,16,gasly,842,alpine,5,0.976958525,81479.95714,Canadian Grand Prix
1106,79707.00413,2023,15,alonso,4,aston_martin,6,0.987884436,80684.54286,Canadian Grand Prix
1106,79936.03522,2023,14,de_vries,856,alphatauri,7,0.965391621,82801.66667,Canadian Grand Prix
1106,79995.55354,2023,13,hamilton,1,mercedes,8,0.990654206,80750.22857,Canadian Grand Prix
1106,80169.66975,2023,12,max_verstappen,830,red_bull,9,0.995305164,80547.82857,Canadian Grand Prix
1106,80181.09092,2023,11,albon,848,williams,10,0.984825023,81416.58571,Canadian Grand Prix
1106,80233.92034,2023,10,leclerc,844,ferrari,11,0.992819232,80814.22857,Canadian Grand Prix
1106,80274.93796,2023,9,sainz,832,ferrari,12,0.992819232,80855.54286,Canadian Grand Prix
1106,80439.1948,2023,8,sargeant,858,williams,13,0.984825023,81678.66667,Canadian Grand Prix
1106,80480.82812,2023,7,stroll,840,aston_martin,14,0.987884436,81467.85714,Canadian Grand Prix
1106,80617.12046,2023,6,hulkenberg,807,haas,15,0.983606557,81960.73913,Canadian Grand Prix
1106,80895.21878,2023,5,perez,815,red_bull,16,0.995305164,81276.8,Canadian Grand Prix
1106,81377.14897,2023,4,kevin_magnussen,825,haas,17,0.983606557,82733.43478,Canadian Grand Prix
1106,81453.01429,2023,3,norris,846,mclaren,18,1,81453.01429,Canadian Grand Prix
1106,81477.84286,2023,2,piastri,857,mclaren,19,1,81477.84286,Canadian Grand Prix
1106,82014.91589,2023,1,russell,847,mercedes,20,0.990654206,82788.64151,Canadian Grand Prix
1107,72143.83495,2023,20,norris,846,mclaren,1,0.992689496,72675.12676,Austrian Grand Prix
1107,72164.47032,2023,19,max_verstappen,830,red_bull,2,0.998065764,72304.32394,Austrian Grand Prix
1107,72283.05692,2023,18,alonso,4,aston_martin,3,0.993836672,72731.32394,Austrian Grand Prix
1107,72306.06156,2023,17,albon,848,williams,4,0.986615679,73286.95775,Austrian Grand Prix
1107,72359.28686,2023,16,gasly,842,alpine,5,0.989643268,73116.53521,Austrian Grand Prix
1107,72376.92958,2023,15,leclerc,844,ferrari,6,1,72376.92958,Austrian Grand Prix
1107,72379.46135,2023,14,hamilton,1,mercedes,7,0.993453985,72856.38028,Austrian Grand Prix
1107,72406.08658,2023,13,perez,815,red_bull,8,0.998065764,72546.40845,Austrian Grand Prix
1107,72508.28855,2023,12,russell,847,mercedes,9,0.993453985,72986.05634,Austrian Grand Prix
1107,72586.59809,2023,11,sargeant,858,williams,10,0.986615679,73571.3,Austrian Grand Prix
1107,72605.40845,2023,10,sainz,832,ferrari,11,1,72605.40845,Austrian Grand Prix
1107,72685.15484,2023,9,stroll,840,aston_martin,12,0.993836672,73135.91549,Austrian Grand Prix
1107,72749.34111,2023,8,ocon,839,alpine,13,0.989643268,73510.67143,Austrian Grand Prix
1107,72786.36622,2023,7,zhou,855,alfa,14,0.987748851,73689.14286,Austrian Grand Prix
1107,72802.16308,2023,6,de_vries,856,alphatauri,15,0.986993114,73761.57143,Austrian Grand Prix
1107,73016.05859,2023,5,tsunoda,852,alphatauri,16,0.986993114,73978.28571,Austrian Grand Prix
1107,73042.39072,2023,4,bottas,822,alfa,17,0.987748851,73948.34286,Austrian Grand Prix
1107,73195.66012,2023,3,kevin_magnussen,825,haas,18,0.988127154,74075.14286,Austrian Grand Prix
1107,73461.51861,2023,2,piastri,857,mclaren,19,0.992689496,74002.51429,Austrian Grand Prix
1107,81073.77442,2023,1,hulkenberg,807,haas,20,0.988127154,82047.91667,Austrian Grand Prix
1108,91399.23119,2023,20,kevin_magnussen,825,haas,1,0.965077605,94706.6129,British Grand Prix
1108,93936.11763,2023,19,ocon,839,alpine,2,0.987241282,95150.11111,British Grand Prix
1108,95461.04107,2023,18,hulkenberg,807,haas,3,0.965077605,98915.40385,British Grand Prix
1108,96078.29285,2023,17,tsunoda,852,alphatauri,4,0.970457079,99003.13462,British Grand Prix
1108,96113.80784,2023,16,de_vries,856,alphatauri,5,0.970457079,99039.73077,British Grand Prix
1108,96192.08303,2023,15,bottas,822,alfa,6,0.972625698,98899.38462,British Grand Prix
1108,96266.71334,2023,14,zhou,855,alfa,7,0.972625698,98976.11538,British Grand Prix
1108,97257.46259,2023,13,max_verstappen,830,red_bull,8,0.988362191,98402.65385,British Grand Prix
1108,97502.31031,2023,12,perez,815,red_bull,9,0.988362191,98650.38462,British Grand Prix
